tcga_code	efo_id	disease_name	gene_symbol	ensembl_id	association_score
BLCA	MONDO_0001187	bladder carcinoma	FGFR3	ENSG00000068078	0.8336778822067347
BLCA	MONDO_0001187	bladder carcinoma	RB1	ENSG00000139687	0.79876946358366
BLCA	MONDO_0001187	bladder carcinoma	TP53	ENSG00000141510	0.7891279894422791
BLCA	MONDO_0001187	bladder carcinoma	HRAS	ENSG00000174775	0.7717117952808279
BLCA	MONDO_0001187	bladder carcinoma	ARID1A	ENSG00000117713	0.7653756573416282
BLCA	MONDO_0001187	bladder carcinoma	KDM6A	ENSG00000147050	0.7591504075398311
BLCA	MONDO_0001187	bladder carcinoma	PIK3CA	ENSG00000121879	0.7381199867771171
BLCA	MONDO_0001187	bladder carcinoma	ERBB2	ENSG00000141736	0.7375550791485738
BLCA	MONDO_0001187	bladder carcinoma	ERCC2	ENSG00000104884	0.7333863444649251
BLCA	MONDO_0001187	bladder carcinoma	ERBB3	ENSG00000065361	0.7253588009966009
BLCA	MONDO_0001187	bladder carcinoma	ATM	ENSG00000149311	0.7232207405856425
BLCA	MONDO_0001187	bladder carcinoma	KRAS	ENSG00000133703	0.7205797983262666
BLCA	MONDO_0001187	bladder carcinoma	TSC1	ENSG00000165699	0.7167462129917751
BLCA	MONDO_0001187	bladder carcinoma	CDKN2A	ENSG00000147889	0.7056071177311936
BLCA	MONDO_0001187	bladder carcinoma	NF1	ENSG00000196712	0.6810748605917604
BLCA	MONDO_0001187	bladder carcinoma	CREBBP	ENSG00000005339	0.6810159938374475
BLCA	MONDO_0001187	bladder carcinoma	EP300	ENSG00000100393	0.6797349449275968
BLCA	MONDO_0001187	bladder carcinoma	KMT2D	ENSG00000167548	0.6765815318352815
BLCA	MONDO_0001187	bladder carcinoma	TERT	ENSG00000164362	0.6650471778699844
BLCA	MONDO_0001187	bladder carcinoma	BRCA1	ENSG00000012048	0.6627401363163176
BLCA	MONDO_0001187	bladder carcinoma	STAG2	ENSG00000101972	0.6600416100301844
BLCA	MONDO_0001187	bladder carcinoma	BRCA2	ENSG00000139618	0.6442366972391188
BLCA	MONDO_0001187	bladder carcinoma	EGFR	ENSG00000146648	0.6406682943302305
BLCA	MONDO_0001187	bladder carcinoma	CDKN1A	ENSG00000124762	0.6370666277112348
BLCA	MONDO_0001187	bladder carcinoma	CD274	ENSG00000120217	0.631189900914053
BLCA	MONDO_0001187	bladder carcinoma	KMT2C	ENSG00000055609	0.6260896504582815
BLCA	MONDO_0001187	bladder carcinoma	RXRA	ENSG00000186350	0.6147454158236979
BLCA	MONDO_0001187	bladder carcinoma	PTEN	ENSG00000171862	0.6034784802896871
BLCA	MONDO_0001187	bladder carcinoma	FAT1	ENSG00000083857	0.6015020291747764
BLCA	MONDO_0001187	bladder carcinoma	FBXW7	ENSG00000109670	0.5911330270041304
BLCA	MONDO_0001187	bladder carcinoma	RBM10	ENSG00000182872	0.5885526932761556
BLCA	MONDO_0001187	bladder carcinoma	RHOA	ENSG00000067560	0.5801923720323445
BLCA	MONDO_0001187	bladder carcinoma	TOP2A	ENSG00000131747	0.5756531092781547
BLCA	MONDO_0001187	bladder carcinoma	MYC	ENSG00000136997	0.5726084042507792
BLCA	MONDO_0001187	bladder carcinoma	ELF3	ENSG00000163435	0.5586360165292026
BLCA	MONDO_0001187	bladder carcinoma	TRRAP	ENSG00000196367	0.5495204830654292
BLCA	MONDO_0001187	bladder carcinoma	NFE2L2	ENSG00000116044	0.5441087560283288
BLCA	MONDO_0001187	bladder carcinoma	LSP1	ENSG00000130592	0.5334273937921126
BLCA	MONDO_0001187	bladder carcinoma	CTNNB1	ENSG00000168036	0.531371637267106
BLCA	MONDO_0001187	bladder carcinoma	POLE	ENSG00000177084	0.530007732175981
BLCA	MONDO_0001187	bladder carcinoma	CCNE1	ENSG00000105173	0.522876687701844
BLCA	MONDO_0001187	bladder carcinoma	POLD1	ENSG00000062822	0.5211731929491534
BLCA	MONDO_0001187	bladder carcinoma	C11orf65	ENSG00000166323	0.515486639591613
BLCA	MONDO_0001187	bladder carcinoma	PSIP1	ENSG00000164985	0.5132195029226533
BLCA	MONDO_0001187	bladder carcinoma	CDK12	ENSG00000167258	0.5040132875943943
BLCA	MONDO_0001187	bladder carcinoma	ALK	ENSG00000171094	0.49796917138070085
BLCA	MONDO_0001187	bladder carcinoma	SLC14A1	ENSG00000141469	0.4939767255669283
BLCA	MONDO_0001187	bladder carcinoma	KMT2A	ENSG00000118058	0.4918065308310161
BLCA	MONDO_0001187	bladder carcinoma	TUBB3	ENSG00000258947	0.4896058385571395
BLCA	MONDO_0001187	bladder carcinoma	ARID1B	ENSG00000049618	0.485555597057604
BLCA	MONDO_0001187	bladder carcinoma	NCOR1	ENSG00000141027	0.48408569544338687
BLCA	MONDO_0001187	bladder carcinoma	BRAF	ENSG00000157764	0.4821941667598311
BLCA	MONDO_0001187	bladder carcinoma	NAT2	ENSG00000156006	0.47970293809226505
BLCA	MONDO_0001187	bladder carcinoma	ERBB4	ENSG00000178568	0.47845674319732345
BLCA	MONDO_0001187	bladder carcinoma	FGFR1	ENSG00000077782	0.47769743335149184
BLCA	MONDO_0001187	bladder carcinoma	TP63	ENSG00000073282	0.4754287686635167
